Category: All categories

Month,diet: (Worldwide),gym: (Worldwide),finance: (Worldwide)
2004-01,100,30,48
2004-02,76,26,50
2004-03,69,24,46
2004-04,69,22,48
2004-05,72,22,44
2004-06,65,23,46
2004-07,61,24,44
2004-08,60,27,44
2004-09,58,26,46
2004-10,52,25,44
2004-11,51,25,43
2004-12,44,25,42
2005-01,65,32,44
2005-02,54,28,48
2005-03,58,27,46
2005-04,54,25,45
2005-05,60,25,44
2005-06,54,25,45
2005-07,55,26,46
2005-08,51,28,46
2005-09,46,28,46
2005-10,46,27,43
2005-11,44,26,44
2005-12,39,25,39
2006-01,65,34,45
2006-02,53,29,45
2006-03,51,27,48
2006-04,51,26,47
2006-05,50,26,47
2006-06,52,26,45
2006-07,51,28,44
2006-08,50,30,44
2006-09,46,31,46
2006-10,44,28,47
2006-11,43,27,45
2006-12,38,27,41
2007-01,58,35,47
2007-02,49,33,50
2007-03,52,32,49
2007-04,52,33,48
2007-05,50,32,47
2007-06,48,31,49
2007-07,48,30,51
2007-08,45,32,54
2007-09,45,32,51
2007-10,43,28,52
2007-11,40,28,50
2007-12,36,26,45
2008-01,54,36,54
2008-02,46,31,50
2008-03,46,29,50
2008-04,49,28,53
2008-05,45,27,47
2008-06,43,26,50
2008-07,45,28,52
2008-08,45,31,50
2008-09,42,34,64
2008-10,42,28,73
2008-11,40,28,58
2008-12,38,27,54
2009-01,53,35,55
2009-02,47,30,58
2009-03,48,30,58
2009-04,51,29,59
2009-05,48,28,56
2009-06,48,28,57
2009-07,47,29,56
2009-08,48,30,57
2009-09,45,31,61
2009-10,45,28,57
2009-11,43,29,54
2009-12,40,28,45
2010-01,59,36,52
2010-02,52,32,55
2010-03,52,31,55
2010-04,52,30,56
2010-05,51,29,55
2010-06,49,28,53
2010-07,49,29,52
2010-08,49,32,51
2010-09,49,32,53
2010-10,47,30,51
2010-11,44,30,51
2010-12,40,28,46
2011-01,62,39,51
2011-02,52,34,51
2011-03,55,34,52
2011-04,59,32,50
2011-05,56,31,50
2011-06,55,33,50
2011-07,52,32,49
2011-08,51,35,58
2011-09,50,36,54
2011-10,50,34,51
2011-11,49,34,48
2011-12,44,32,42
2012-01,66,43,46
2012-02,58,39,48
2012-03,56,35,48
2012-04,59,35,46
2012-05,56,35,50
2012-06,54,35,45
2012-07,55,36,43
2012-08,54,38,46
2012-09,53,39,47
2012-10,47,35,46
2012-11,45,33,44
2012-12,42,32,40
2013-01,69,44,47
2013-02,58,39,47
2013-03,59,39,46
2013-04,59,38,50
2013-05,56,36,46
2013-06,55,37,45
2013-07,55,37,46
2013-08,51,40,46
2013-09,53,40,49
2013-10,48,40,49
2013-11,46,37,45
2013-12,43,37,41
2014-01,62,47,47
2014-02,55,43,48
2014-03,57,42,48
2014-04,56,41,47
2014-05,50,40,44
2014-06,49,39,43
2014-07,48,40,46
2014-08,47,42,45
2014-09,45,42,47
2014-10,44,39,49
2014-11,43,38,43
2014-12,39,37,43
2015-01,57,49,46
2015-02,48,46,49
2015-03,52,46,47
2015-04,51,43,46
2015-05,49,43,44
2015-06,48,43,45
2015-07,47,42,47
2015-08,47,43,49
2015-09,44,46,48
2015-10,43,41,47
2015-11,40,43,43
2015-12,39,43,42
2016-01,52,52,44
2016-02,48,47,45
2016-03,48,46,43
2016-04,49,46,44
2016-05,47,45,42
2016-06,44,46,45
2016-07,44,58,42
2016-08,47,56,42
2016-09,44,51,44
2016-10,41,45,41
2016-11,39,47,44
2016-12,37,45,39
2017-01,55,59,43
2017-02,59,52,44
2017-03,52,49,45
2017-04,50,49,43
2017-05,49,47,44
2017-06,48,51,44
2017-07,50,53,44
2017-08,47,50,44
2017-09,44,51,48
2017-10,44,47,46
2017-11,42,47,47
2017-12,39,46,51
2018-01,60,59,57
2018-02,53,53,50
2018-03,55,49,48
2018-04,58,50,47
2018-05,56,50,46
2018-06,54,51,44
2018-07,54,50,44
2018-08,52,52,48
2018-09,47,51,46
2018-10,47,47,49
2018-11,43,47,42
2018-12,42,49,41
2019-01,65,60,46
2019-02,54,51,47
2019-03,51,51,46
2019-04,54,49,46
2019-05,49,47,47
2019-06,47,51,45
2019-07,47,52,49
2019-08,44,52,58
2019-09,45,53,50
2019-10,42,49,52
2019-11,42,51,51
2019-12,38,50,50
2020-01,53,61,55
2020-02,47,54,62
2020-03,34,51,75
2020-04,29,37,81
